"RiskId";"Level"
"A-AdminSDHolder";"2"
"A-AnonymousAuthorizedGPO";"2"
"A-AuditDC";"3"
"A-AuditPowershell";"3"
"A-BackupMetadata";"3"
"A-CertEnrollChannelBinding";"3"
"A-CertEnrollHttp";"3"
"A-CertROCA";"1"
"A-CertTempAgent";"1"
"A-CertTempAnyone";"1"
"A-CertTempAnyPurpose";"1"
"A-CertTempCustomSubject";"1"
"A-CertTempNoSecurity";"1"
"A-CertWeakDSA";"1"
"A-CertWeakRsaComponent";"3"
"A-DC-Coerce";"3"
"A-DCLdapsChannelBinding";"3"
"A-DCLdapSign";"3"
"A-DCLdapsProtocol";"3"
"A-DCLdapsProtocolAdvanced";"5"
"A-DCRefuseComputerPwdChange";"2"
"A-DC-Spooler";"2"
"A-DC-WebClient";"4"
"A-DnsZoneAUCreateChild";"4"
"A-DnsZoneTransfert";"2"
"A-DnsZoneUpdate1";"1"
"A-DnsZoneUpdate2";"3"
"A-DsHeuristicsAllowAnonNSPI";"1"
"A-DsHeuristicsAnonymous";"2"
"A-DsHeuristicsDoNotVerifyUniqueness";"2"
"A-DsHeuristicsLDAPSecurity";"3"
"A-Guest";"1"
"A-HardenedPaths";"2"
"A-Krbtgt";"2"
"A-LAPS-Joined-Computers";"3"
"A-LAPS-Not-Installed";"3"
"A-LDAPSigningDisabled";"3"
"A-LimitBlankPasswordUse";"2"
"A-LMHashAuthorized";"1"
"A-MD2IntermediateCert";"3"
"A-MD2RootCert";"3"
"A-MD4IntermediateCert";"3"
"A-MD4RootCert";"3"
"A-MD5IntermediateCert";"3"
"A-MD5RootCert";"3"
"A-MembershipEveryone";"1"
"A-MinPwdLen";"2"
"A-NoGPOLLMNR";"3"
"A-NoNetSessionHardening";"4"
"A-NoServicePolicy";"4"
"A-NotEnoughDC";"3"
"A-NTFRSOnSysvol";"2"
"A-NullSession";"2"
"A-PreWin2000Anonymous";"2"
"A-PreWin2000AuthenticatedUsers";"5"
"A-PreWin2000Other";"3"
"A-ProtectedUsers";"3"
"A-PwdGPO";"1"
"A-ReversiblePwd";"3"
"A-RootDseAnonBinding";"5"
"A-SHA0IntermediateCert";"3"
"A-SHA0RootCert";"3"
"A-SHA1IntermediateCert";"3"
"A-SHA1RootCert";"3"
"A-SmartCardPwdRotation";"4"
"A-SmartCardRequired";"3"
"A-SMB2SignatureNotEnabled";"3"
"A-SMB2SignatureNotRequired";"3"
"A-UnixPwd";"3"
"A-WeakRSARootCert";"1"
"A-WeakRSARootCert2";"3"
"A-WSUS-SslProtocol";"3"
"P-AdminEmailOn";"3"
"P-AdminLogin";"3"
"P-AdminNum";"1"
"P-AdminPwdTooOld";"1"
"P-ControlPathIndirectEveryone";"1"
"P-ControlPathIndirectMany";"2"
"P-DangerousExtendedRight";"2"
"P-DCOwner";"3"
"P-Delegated";"3"
"P-DelegationDCa2d2";"1"
"P-DelegationDCsourcedeleg";"1"
"P-DelegationDCt2a4d";"1"
"P-DelegationEveryone";"2"
"P-DelegationFileDeployed";"2"
"P-DelegationGPOData";"2"
"P-DelegationKeyAdmin";"2"
"P-DelegationLoginScript";"2"
"P-DisplaySpecifier";"1"
"P-DNSAdmin";"4"
"P-DNSDelegation";"1"
"P-DsHeuristicsAdminSDExMask";"1"
"P-DsHeuristicsDoListObject";"2"
"P-ExchangeAdminSDHolder";"2"
"P-ExchangePrivEsc";"2"
"P-Inactive";"3"
"P-Kerberoasting";"1"
"P-LoginDCEveryone";"1"
"P-LogonDenied";"4"
"P-OperatorsEmpty";"3"
"P-PrivilegeEveryone";"2"
"P-ProtectedUsers";"3"
"P-RecoveryModeUnprotected";"2"
"P-RecycleBin";"3"
"P-RODCAdminRevealed";"2"
"P-RODCAllowedGroup";"3"
"P-RODCDeniedGroup";"3"
"P-RODCKrbtgtOrphan";"3"
"P-RODCNeverReveal";"3"
"P-RODCRevealOnDemand";"3"
"P-RODCSYSVOLWrite";"2"
"P-SchemaAdmin";"3"
"P-ServiceDomainAdmin";"1"
"P-TrustedCredManAccessPrivilege";"3"
"P-UnconstrainedDelegation";"2"
"P-UnkownDelegation";"4"
"P-UnprotectedOU";"4"
"S-ADRegistration";"4"
"S-ADRegistrationSchema";"2"
"S-AesNotEnabled";"3"
"S-C-Inactive";"3"
"S-C-PrimaryGroup";"3"
"S-C-Reversible";"3"
"S-DC-2000";"1"
"S-DC-2003";"1"
"S-DC-2008";"1"
"S-DC-2012";"1"
"S-DC-Inactive";"1"
"S-DC-NotUpdated";"1"
"S-DCRegistration";"1"
"S-DC-SubnetMissing";"3"
"S-DefaultOUChanged";"4"
"S-DefenderASR";"5"
"S-DesEnabled";"2"
"S-Domain$$$";"3"
"S-Duplicate";"4"
"S-FirewallScript";"5"
"S-FolderOptions";"5"
"S-FunctionalLevel1";"1"
"S-FunctionalLevel3";"3"
"S-FunctionalLevel4";"3"
"S-Inactive";"1"
"S-JavaSchema";"3"
"S-KerberosArmoring";"4"
"S-KerberosArmoringDC";"4"
"S-NoPreAuth";"2"
"S-NoPreAuthAdmin";"1"
"S-OldNtlm";"2"
"S-OS-2000";"2"
"S-OS-2003";"2"
"S-OS-2008";"2"
"S-OS-2012";"2"
"S-OS-NT";"2"
"S-OS-Vista";"2"
"S-OS-W10";"2"
"S-OS-Win7";"2"
"S-OS-Win8";"2"
"S-OS-XP";"2"
"S-PrimaryGroup";"3"
"S-PwdLastSet-45";"3"
"S-PwdLastSet-90";"2"
"S-PwdLastSet-Cluster";"2"
"S-PwdLastSet-DC";"1"
"S-PwdNeverExpires";"2"
"S-PwdNotRequired";"3"
"S-Reversible";"3"
"S-SIDHistory";"3"
"S-SMB-v1";"3"
"S-TerminalServicesGPO";"4"
"S-Vuln-MS14-068";"1"
"S-Vuln-MS17_010";"1"
"S-WSUS-HTTP";"2"
"S-WSUS-NoPinning";"2"
"S-WSUS-UserProxy";"2"
"T-AlgsAES";"4"
"T-AzureADSSO";"2"
"T-Downlevel";"3"
"T-FileDeployedOutOfDomain";"2"
"T-Inactive";"2"
"T-ScriptOutOfDomain";"2"
"T-SIDFiltering";"1"
"T-SIDHistoryDangerous";"2"
"T-SIDHistorySameDomain";"3"
"T-SIDHistoryUnknownDomain";"3"
"T-TGTDelegation";"3"
